Product ID,Product Line,Product Category,Product Group,Product Name,Supplier Country,Supplier Name,Supplier ID,Price
210100100001,Children,Children Outdoors,"Outdoor things, Kids",Boy's and Girl's Ski Pants with Braces,NO,Scandinavian Clothing A/S,50,296.78
210100100002,Children,Children Outdoors,"Outdoor things, Kids",Children's Jacket,ES,Luna sastreria S.A.,4742,490.18
210100100003,Children,Children Outdoors,"Outdoor things, Kids",Children's Jacket Sidney,NO,Scandinavian Clothing A/S,50,454.3
210100100004,Children,Children Outdoors,"Outdoor things, Kids",Children's Rain Set,NO,Scandinavian Clothing A/S,50,287.38
210100100005,Children,Children Outdoors,"Outdoor things, Kids",Children's Rain Suit,NO,Scandinavian Clothing A/S,50,283.95
210100100006,Children,Children Outdoors,"Outdoor things, Kids",Rain Suit for Children,NO,Scandinavian Clothing A/S,50,434.52
210100100007,Children,Children Outdoors,"Outdoor things, Kids",Rain Suit,US,AllSeasons Outdoor Clothing,772,97.48
210100100008,Children,Children Outdoors,"Outdoor things, Kids",Rain Suit Tonado,NO,Scandinavian Clothing A/S,50,368.3
210100100009,Children,Children Outdoors,"Outdoor things, Kids",Ski Jacket Oliver,NO,Scandinavian Clothing A/S,50,48.1
210100100010,Children,Children Outdoors,"Outdoor things, Kids",Ski Jacket w/Removable Fleece,NO,Scandinavian Clothing A/S,50,130.26
210100100011,Children,Children Outdoors,"Outdoor things, Kids",Tiny Mouse Children's Mitten,SE,Svensson Trading AB,6355,58.94
210100100012,Children,Children Outdoors,"Outdoor things, Kids",4ce Ace Children's Jacket,NO,Scandinavian Clothing A/S,50,389.69
210100100013,Children,Children Outdoors,"Outdoor things, Kids",4ce Expedition Down Jacket,NO,Scandinavian Clothing A/S,50,99.96
210100100014,Children,Children Outdoors,"Outdoor things, Kids",4ce Filip Children's Rainwear,NO,Scandinavian Clothing A/S,50,416.32
210100100015,Children,Children Outdoors,"Outdoor things, Kids",4ce Grover Snow Jacket,NO,Scandinavian Clothing A/S,50,237.35
210100100016,Children,Children Outdoors,"Outdoor things, Kids",4ce Jaguar Snow Pants,NO,Scandinavian Clothing A/S,50,132.7
210100100017,Children,Children Outdoors,"Outdoor things, Kids",4ce Tiger Ski Jacket with Hood,NO,Scandinavian Clothing A/S,50,201.45
210100100018,Children,Children Outdoors,"Outdoor things, Kids",Amarone Children's Shorts,NO,Scandinavian Clothing A/S,50,184.1
210100100019,Children,Children Outdoors,"Outdoor things, Kids",Blondie Girl's Ski Jacket,NO,Scandinavian Clothing A/S,50,187.73
210100100020,Children,Children Outdoors,"Outdoor things, Kids",Dean Creek Children's Vest,NO,Scandinavian Clothing A/S,50,214.08
210100100021,Children,Children Outdoors,"Outdoor things, Kids",Down Children's Down Jacket,SE,Petterson AB,109,99.47
210100100022,Children,Children Outdoors,"Outdoor things, Kids",Down Children's Vest,SE,Petterson AB,109,170.56
210100100023,Children,Children Outdoors,"Outdoor things, Kids",Massif Freeride Jr.Gtx Gloves,FR,Massif S.A.,13199,92.48
210100100024,Children,Children Outdoors,"Outdoor things, Kids",Massif Penquin Polyester Socks,FR,Massif S.A.,13199,198.5
210100100025,Children,Children Outdoors,"Outdoor things, Kids",Monster Children's Pants with Zipper,NO,Scandinavian Clothing A/S,50,152.69
210100100026,Children,Children Outdoors,"Outdoor things, Kids",Montana Children's Gloves,SE,Svensson Trading AB,6355,187.68
210100100027,Children,Children Outdoors,"Outdoor things, Kids",Montana Children's mitten,SE,Svensson Trading AB,6355,456.96
210100100028,Children,Children Outdoors,"Outdoor things, Kids",Ranger Children's T-Shirt,NO,Scandinavian Clothing A/S,50,373.54
210100100029,Children,Children Outdoors,"Outdoor things, Kids",Scania Children's Gloves,SE,Svensson Trading AB,6355,185.88
210100100030,Children,Children Outdoors,"Outdoor things, Kids",Scania Goretex Junior Gloves,SE,Svensson Trading AB,6355,349.3
210100100031,Children,Children Outdoors,"Outdoor things, Kids",Tasmania Children's Shirt,NO,Scandinavian Clothing A/S,50,114.8
210100100032,Children,Children Outdoors,"Outdoor things, Kids",Tony's Nuptse Jacket,US,Miller Trading Inc,15218,216.67
210100100033,Children,Children Outdoors,"Outdoor things, Kids",Top Children's R&D Down Jacket,US,Top Sports Inc,14648,171.29
210100100034,Children,Children Outdoors,"Outdoor things, Kids","Top Children's R&D Jacket, Long",US,Top Sports Inc,14648,410.98
210100100035,Children,Children Outdoors,"Outdoor things, Kids",Top Children's R&D Pants,US,Top Sports Inc,14648,42.1
210100100036,Children,Children Outdoors,"Outdoor things, Kids",Top Children's Ski Pullover,US,Top Sports Inc,14648,186.08
210100100037,Children,Children Outdoors,"Outdoor things, Kids","Top Junior Fleece Hat, Polyester",US,Top Sports Inc,14648,42.05
210100100038,Children,Children Outdoors,"Outdoor things, Kids",Top Junior T-Neck Fleece,US,Top Sports Inc,14648,482.19
210100100039,Children,Children Outdoors,"Outdoor things, Kids",Twain Flash 100 Jr. Ski Gloves,US,Twain Inc,13198,281.87
210100100040,Children,Children Outdoors,"Outdoor things, Kids",11m Rain Jacket,US,AllSeasons Outdoor Clothing,772,312.3
210100100041,Children,Children Outdoors,"Outdoor things, Kids",11m Rain Pants,US,AllSeasons Outdoor Clothing,772,188.02
210100100042,Children,Children Outdoors,"Outdoor things, Kids",3 K Children's Shoes,US,3Top Sports,2963,279.08
210100100043,Children,Children Outdoors,"Outdoor things, Kids",3top Children's Shoes,US,3Top Sports,2963,478.69
210100100044,Children,Children Outdoors,"Outdoor things, Kids",3top Infant Baby Shoes,US,3Top Sports,2963,236.37
210100100045,Children,Children Outdoors,"Outdoor things, Kids",4goal 2 Trx Junior Football Boots,US,3Top Sports,2963,215.94
210100100046,Children,Children Outdoors,"Outdoor things, Kids",4goal Trx J Football Boots,US,3Top Sports,2963,473.38
210100100047,Children,Children Outdoors,"Outdoor things, Kids",Ana Mini Panty,ES,Luna sastreria S.A.,4742,312.26
210100100048,Children,Children Outdoors,"Outdoor things, Kids",Ana Shorts,ES,Luna sastreria S.A.,4742,348.51
210100100049,Children,Children Outdoors,"Outdoor things, Kids",Ana Top,ES,Luna sastreria S.A.,4742,179.01
210100100050,Children,Children Outdoors,"Outdoor things, Kids",Ancnw Children's Shoes,US,3Top Sports,2963,401.08
210200100001,Children,Children Sports,"A-Team, Kids",A-team Children's Shorts w/Pockets,US,A Team Sports,3298,198.64
210200100002,Children,Children Sports,"A-Team, Kids",A-team Children's Sweat Pants,US,A Team Sports,3298,86.43
210200100003,Children,Children Sports,"A-Team, Kids",A-team Children's Sweat R.Neck Big Logo,US,A Team Sports,3298,86.29
210200100004,Children,Children Sports,"A-Team, Kids","A-team Children's Sweat w/Hood,Big Logo",US,A Team Sports,3298,468.94
210200100005,Children,Children Sports,"A-Team, Kids",A-team Children's T-Shirt,US,A Team Sports,3298,49.49
210200100006,Children,Children Sports,"A-Team, Kids",A-team Children's T-Shirt w/Big Logo,US,A Team Sports,3298,216.8
210200100007,Children,Children Sports,"A-Team, Kids",A-team Shiny Children's Pants,US,A Team Sports,3298,105.87
210200100008,Children,Children Sports,"A-Team, Kids",Fleece Children's Fleece w/Hood,US,A Team Sports,3298,365.66
210200100009,Children,Children Sports,"A-Team, Kids","Kids Sweat Round Neck,Large Logo",US,A Team Sports,3298,165.01
210200100010,Children,Children Sports,"A-Team, Kids","Kids Sweat with Hood, Large Logo",US,A Team Sports,3298,434.32
210200100011,Children,Children Sports,"A-Team, Kids",Ottis Children's Legend Suit,US,A Team Sports,3298,291.4
210200100012,Children,Children Sports,"A-Team, Kids",Ottis Children's Pants Bl,US,3Top Sports,2963,43.34
210200100013,Children,Children Sports,"A-Team, Kids",Pants Shiny Children's Pants,US,A Team Sports,3298,464.03
210200100014,Children,Children Sports,"A-Team, Kids",SweatPants Children's Sweat Pants Long,US,A Team Sports,3298,40.05
210200100015,Children,Children Sports,"A-Team, Kids",SweatPants Children's Sweat Pants,US,A Team Sports,3298,325.99
